Index	Index	ICD10	Score	P-value
2826	2826	R040	399140.85605332337	0.0
1798	1798	K921	154828.13825334058	0.0
2881	2881	R230	154802.80333228514	0.0
2674	2674	Q273	136128.35936096346	0.0
1797	1797	K920	134842.53306103317	0.0
2677	2677	Q282	104384.7820159654	0.0
2867	2867	R195	81874.4815268173	0.0
1799	1799	K922	49487.199867760515	0.0
2663	2663	Q257	38988.253901750555	0.0
2678	2678	Q283	16516.772176833074	0.0
1689	1689	K625	14336.713272547351	0.0
1169	1169	I280	14314.668284361907	0.0
517	517	D500	13181.133482249821	0.0
2950	2950	R509	12118.02109622265	0.0
710	710	E86	11732.086581162726	0.0
558	558	D696	11625.094254252057	0.0
1348	1348	I959	11247.417095998957	0.0
3041	3041	R91	11114.847143327568	0.0
1499	1499	J981	11029.216126838563	0.0
519	519	D509	10649.426320778975	0.0
2844	2844	R090	10535.968448153764	0.0
2848	2848	R098	10271.06026085253	0.0
1669	1669	K590	10255.893499756745	0.0
2321	2321	N179	10154.691998290726	0.0
1474	1474	J90	10086.783398643447	0.0
2853	2853	R11	9947.60901166851	0.0
1464	1464	J81	9942.98375775897	0.0
2862	2862	R18	9802.719619891377	0.0
718	718	E877	9523.34658926059	0.0
1652	1652	K552	9518.620631073014	0.0
713	713	E872	9321.766681406598	0.0
44	44	A419	8932.46293964508	0.0
2676	2676	Q279	8904.996879270115	0.0
2818	2818	R000	8799.489385035942	0.0
1609	1609	K319	8676.989411729406	0.0
712	712	E871	8651.061648893641	0.0
2831	2831	R05	8624.961654161996	0.0
3008	3008	R798	8590.681983904346	0.0
1608	1608	K318	8500.004194346015	0.0
1747	1747	K766	8484.016382636024	0.0
717	717	E876	8408.753430394312	0.0
2856	2856	R14	8406.140106913048	0.0
2621	2621	Q204	8350.76916062577	0.0
1597	1597	K297	8343.29971811589	0.0
547	547	D62	8324.05610797194	0.0
1563	1563	K226	8202.934864106317	0.0
1570	1570	K254	7881.741965322434	0.0
1650	1650	K529	7828.273806467138	0.0
2850	2850	R101	7696.27284980395	0.0
1707	1707	K648	7503.846090771758	0.0
