Index	Index	ICD10	Score	P-value
1276	1276	I776	299662.1464867323	0.0
2302	2302	N059	290183.9752259252	0.0
521	521	D692	227826.2003827212	0.0
2013	2013	M321	129097.30537809255	0.0
795	795	G039	91839.133741614	0.0
1850	1850	L930	90388.72762745431	0.0
1779	1779	L568	48809.1854426321	0.0
2301	2301	N058	47423.475776602674	0.0
516	516	D631	33607.358974390256	0.0
2714	2714	R80	28299.538936682937	0.0
1073	1073	I129	26847.787037695754	0.0
2339	2339	N189	24900.736946270765	0.0
2350	2350	N26	24716.005219567185	0.0
1072	1072	I120	23268.680317254813	0.0
1862	1862	L959	20385.62515963377	0.0
2281	2281	N028	20241.71396094088	0.0
2014	2014	M328	19903.26220730013	0.0
2003	2003	M310	19839.59206353825	0.0
2338	2338	N185	19820.329620583987	0.0
552	552	D899	19793.946659819234	0.0
2333	2333	N179	16577.01731265499	0.0
1078	1078	I151	14965.91856495914	0.0
2753	2753	R944	14927.84757141899	0.0
2335	2335	N182	14065.851958847084	0.0
517	517	D638	13437.6555444887	0.0
2337	2337	N184	12953.492600188672	0.0
685	685	E875	12669.956888672788	0.0
2000	2000	M300	12666.939301503828	0.0
2336	2336	N183	12616.422547725286	0.0
2287	2287	N039	12331.599436921564	0.0
2348	2348	N258	11690.588334049482	0.0
1852	1852	L932	11533.838083451908	0.0
2731	2731	R894	11453.037309220872	0.0
2357	2357	N289	11381.634050860448	0.0
1069	1069	I10	11153.697479869226	0.0
2594	2594	R21	10922.152198768064	0.0
2334	2334	N181	10786.913052747304	0.0
682	682	E872	10548.797268544913	0.0
2712	2712	R798	10281.063247624214	0.0
2009	2009	M317	10224.590726281373	0.0
2005	2005	M313	9518.85840619162	0.0
687	687	E877	9442.615270609693	0.0
2293	2293	N049	9248.698740831534	0.0
2739	2739	R91	9226.426450057686	0.0
2703	2703	R768	8701.82124021213	0.0
2340	2340	N19	8240.028754535759	0.0
675	675	E834	7987.509375382006	0.0
2677	2677	R609	7948.393036384865	0.0
2300	2300	N057	7724.292542569431	0.0
2329	2329	N170	7638.553556705462	0.0
