Index	Index	ICD10	Score	P-value
3569	3569	R060	916716.952970795	0.0
1866	1866	J449	744152.6448506804	0.0
1863	1863	J439	198517.33711844284	0.0
3783	3783	R91	186158.95217856954	0.0
3580	3580	R090	133659.7072038778	0.0
1898	1898	J90	111706.0875071329	0.0
3796	3796	R943	111671.39348531052	0.0
1925	1925	J981	104788.48180349698	0.0
3091	3091	N179	92449.6148957438	0.0
2197	2197	K768	88222.64732801555	0.0
1806	1806	J189	87294.5153520729	0.0
1494	1494	I10	82058.12030647958	0.0
1627	1627	I509	81216.56679011408	0.0
1865	1865	J441	80674.72154747842	0.0
3584	3584	R098	78694.11860922584	0.0
999	999	E877	73564.68202357205	0.0
3568	3568	R05	71977.60085050143	0.0
1927	1927	J984	66359.47433173018	0.0
1526	1526	I251	66156.5757106714	0.0
59	59	A419	65635.4072719476	0.0
1886	1886	J81	62973.61351774111	0.0
1862	1862	J438	62322.550917422384	0.0
1755	1755	I959	60550.1584378783	0.0
3748	3748	R798	60434.848633192356	0.0
994	994	E872	58337.7168324825	0.0
981	981	E785	57086.85633584392	0.0
3705	3705	R609	56789.299967887506	0.0
993	993	E871	54887.541912193454	0.0
3798	3798	R945	52617.708237534265	0.0
3554	3554	R000	50516.50525077648	0.0
3703	3703	R600	49685.88818090397	0.0
991	991	E86	47953.778227656105	0.0
998	998	E876	46328.30797409265	0.0
2183	2183	K746	46212.058415743086	0.0
1617	1617	I489	44888.95277675433	0.0
1990	1990	K219	44559.86316145439	0.0
1919	1919	J9601	42369.586487605535	0.0
3556	3556	R002	41311.72922532373	0.0
3598	3598	R18	41305.00112289623	0.0
1918	1918	J9600	41097.79640892657	0.0
1923	1923	J9691	40538.499810668596	0.0
997	997	E875	40212.363935711	0.0
3660	3660	R418	39097.68584902812	0.0
3097	3097	N189	38480.4990376392	0.0
808	808	D696	38047.65303535561	0.0
3729	3729	R748	37930.01332877676	0.0
1291	1291	G934	36484.944917437315	0.0
1536	1536	I270	35096.851334689585	0.0
882	882	E119	34850.671482531754	0.0
1538	1538	I272	34135.838480017104	0.0
